DateTime,TimeSSM,Status,DataStatus,PartCt,HistSum,PartCon,BL,BLTH,STD,MaxSTD,P,TofP, PumpLife_hrs,WidthSTD,AveWidth, POPS_Flow, PumpFB, LDTemp, LaserFB, LD_Mon, Temp, BatV, Laser_Current, Flow_Set,BL_Start,TH_Mult,nbins,logmin,logmax,Skip_Save,MinPeakPts,MaxPeakPts,RawPts,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15
1692215107.164,71107.1636,3,2,92,92,683.75,2016,2043,8.90,11.69,989.87,21.48,259.22,0.00,0.00,0.13,137.58,40.76,636.48,1008.35,21.64,10.87,2.87,2.04,30000,3.0,16,1.75,4.81,0,8,255,512,16,13,11,12,14,8,15,2,0,0,0,1,0,0,0,0
1692215108.167,71108.1669,3,0,330,330,102.17,2017,2047,9.96,10.65,989.88,21.50,259.22,23.07,34.73,3.23,334.95,40.86,636.92,1023.74,21.64,11.61,2.87,2.04,30000,3.0,16,1.75,4.81,0,8,255,512,53,62,45,55,33,38,27,14,3,0,0,0,0,0,0,0
1692215109.163,71109.1635,3,0,312,312,103.41,2017,2045,9.30,10.72,989.92,21.52,259.22,22.83,32.00,3.02,318.68,40.90,636.48,1021.10,21.64,10.94,2.87,2.04,30000,3.0,16,1.75,4.81,0,8,255,512,60,46,50,42,39,30,32,12,0,0,0,1,0,0,0,0
1692215110.167,71110.1669,3,0,305,305,103.17,2015,2044,9.57,10.61,989.84,21.53,259.22,15.94,30.75,2.96,319.56,40.97,636.04,1024.62,21.67,10.73,2.87,2.04,30000,3.0,16,1.75,4.81,0,8,255,512,48,34,50,45,44,29,32,15,4,4,0,0,0,0,0,0
1692215111.167,71111.1669,3,0,289,289,94.66,2017,2045,9.20,10.65,989.93,21.54,259.22,17.42,33.49,3.05,321.76,41.03,634.29,1025.05,21.64,11.13,2.87,2.04,30000,3.0,16,1.75,4.81,0,8,255,512,49,47,49,34,30,35,23,16,5,1,0,0,0,0,0,0
1692215112.167,71112.1669,3,0,286,286,94.62,2015,2041,8.54,10.56,989.87,21.56,259.22,15.84,31.31,3.02,321.76,41.11,634.73,1025.05,21.64,11.13,2.87,2.04,30000,3.0,16,1.75,4.81,0,8,255,512,50,38,40,35,33,43,32,10,5,0,0,0,0,0,0,0
1692215113.163,71113.1635,3,0,284,284,93.11,2018,2048,9.77,10.74,989.88,21.57,259.22,16.13,31.29,3.05,320.44,41.23,634.73,1025.05,21.61,10.39,2.87,2.04,30000,3.0,16,1.75,4.81,0,8,255,512,45,46,40,40,29,40,34,9,1,0,0,0,0,0,0,0
1692215114.167,71114.1669,3,0,327,327,110.92,2020,2049,9.45,10.72,989.84,21.59,259.22,19.68,32.27,2.95,320.44,41.26,636.48,1025.93,21.61,10.63,2.87,2.04,30000,3.0,16,1.75,4.81,0,8,255,512,52,59,40,41,39,38,39,10,6,2,1,0,0,0,0,0
1692215115.167,71115.1669,3,0,291,291,96.98,2020,2048,9.40,10.44,989.83,21.60,259.22,16.72,31.67,3.00,322.20,41.34,634.29,1027.25,21.64,11.36,2.87,2.04,30000,3.0,16,1.75,4.81,0,8,255,512,50,41,41,34,40,30,38,12,3,1,1,0,0,0,0,0
1692215116.163,71116.1635,3,0,328,328,109.11,2020,2048,9.16,10.82,989.93,21.62,259.22,15.46,30.67,3.01,321.76,41.50,636.04,1027.25,21.67,11.42,2.87,2.04,30000,3.0,16,1.75,4.81,0,8,255,512,61,49,36,52,30,47,38,13,2,0,0,0,0,0,0,0
1692215117.167,71117.1670,3,0,295,295,96.54,2019,2046,8.98,10.62,989.82,21.63,259.22,15.27,31.38,3.06,318.24,41.50,633.85,1028.13,21.61,10.27,2.87,2.04,30000,3.0,16,1.75,4.81,0,8,255,512,56,46,34,31,34,46,29,12,5,0,2,0,0,0,0,0
1692215118.167,71118.1671,3,0,294,294,96.47,2020,2050,9.86,10.78,989.85,21.65,259.22,16.74,31.16,3.05,323.96,41.61,633.85,1026.37,21.67,11.57,2.87,2.04,30000,3.0,16,1.75,4.81,0,8,255,512,50,44,43,31,32,39,39,14,1,1,0,0,0,0,0,0
1692215119.163,71119.1635,3,0,321,321,107.38,2021,2048,9.30,10.82,989.81,21.66,259.22,15.93,30.91,2.99,324.40,41.61,632.97,1028.57,21.67,11.60,2.87,2.04,30000,3.0,16,1.75,4.81,0,8,255,512,57,46,35,49,28,45,43,18,0,0,0,0,0,0,0,0
1692215120.167,71120.1669,3,0,280,280,92.30,2019,2046,9.22,10.46,989.84,21.68,259.22,16.05,31.03,3.03,325.27,41.73,630.77,1027.69,21.70,10.33,2.87,2.04,30000,3.0,16,1.75,4.81,0,8,255,512,52,40,37,33,37,40,27,12,1,1,0,0,0,0,0,0
1692215121.164,71121.1636,3,0,273,273,89.99,2021,2049,9.15,10.89,989.86,21.69,259.22,16.31,31.56,3.03,324.40,41.78,632.09,1029.89,21.95,11.76,2.87,2.04,30000,3.0,16,1.75,4.81,0,8,255,512,44,41,42,38,29,30,33,10,4,1,1,0,0,0,0,0
1692215122.167,71122.1669,3,0,296,296,96.87,2018,2045,8.87,10.61,989.83,21.71,259.22,14.71,29.91,3.06,324.40,41.88,634.29,1029.89,21.70,11.23,2.87,2.04,30000,3.0,16,1.75,4.81,0,8,255,512,53,47,43,36,35,33,30,14,3,2,0,0,0,0,0,0
1692215123.167,71123.1670,3,0,274,274,90.57,2019,2046,9.15,10.51,989.87,21.74,259.22,15.03,30.44,3.03,323.08,41.86,632.09,1032.09,21.73,11.88,2.87,2.04,30000,3.0,16,1.75,4.81,0,8,255,512,42,43,41,32,36,30,28,17,4,1,0,0,0,0,0,0
1692215124.164,71124.1639,3,0,290,290,97.10,2018,2044,8.64,10.60,989.85,21.75,259.22,15.80,29.88,2.99,323.96,41.92,631.65,1029.45,21.70,11.69,2.87,2.04,30000,3.0,16,1.75,4.81,0,8,255,512,42,54,38,45,27,42,33,7,2,0,0,0,0,0,0,0
1692215125.164,71125.1636,3,0,344,344,116.25,2018,2048,9.85,10.53,989.87,21.77,259.22,15.14,30.80,2.96,323.96,41.99,632.53,1031.65,21.77,10.37,2.87,2.04,30000,3.0,16,1.75,4.81,0,8,255,512,63,67,46,36,39,40,43,10,0,0,0,0,0,0,0,0
1692215126.167,71126.1669,3,0,293,293,97.92,2017,2042,8.43,10.43,989.93,21.79,259.22,16.15,31.43,2.99,324.84,42.05,632.09,1030.33,21.73,11.58,2.87,2.04,30000,3.0,16,1.75,4.81,0,8,255,512,47,51,52,31,25,39,29,15,4,0,0,0,0,0,0,0
1692215127.164,71127.1638,3,0,288,288,96.16,2014,2040,8.54,10.36,989.82,21.81,259.22,16.18,32.18,2.99,323.52,42.15,632.09,1030.77,21.86,11.75,2.87,2.04,30000,3.0,16,1.75,4.81,0,8,255,512,51,46,41,42,33,36,31,8,0,0,0,0,0,0,0,0
1692215128.164,71128.1635,3,0,310,310,104.28,2015,2045,9.96,10.57,989.86,21.83,259.22,15.59,31.55,2.97,323.52,42.15,630.77,1031.21,21.77,10.99,2.87,2.04,30000,3.0,16,1.75,4.81,0,8,255,512,55,39,38,41,41,40,37,16,2,1,0,0,0,0,0,0
1692215129.164,71129.1636,3,0,292,292,97.59,2018,2044,8.83,10.58,989.79,21.84,259.22,15.33,31.79,2.99,323.96,42.22,632.53,1030.33,21.77,11.91,2.87,2.04,30000,3.0,16,1.75,4.81,0,8,255,512,47,48,48,35,33,35,25,15,3,3,0,0,0,0,0,0
1692215130.164,71130.1639,3,0,315,315,106.06,2020,2045,8.56,10.87,989.82,21.86,259.22,15.89,32.08,2.97,325.27,42.28,630.77,1031.65,21.73,10.41,2.87,2.04,30000,3.0,16,1.75,4.81,0,8,255,512,39,45,46,46,50,34,45,9,1,0,0,0,0,0,0,0
1692215131.164,71131.1635,3,0,307,307,101.75,2020,2047,9.19,10.66,989.87,21.88,259.22,15.08,31.56,3.02,323.08,41.97,630.77,1030.77,21.70,10.26,2.87,2.04,30000,3.0,16,1.75,4.81,0,8,255,512,46,46,49,48,34,32,35,14,2,1,0,0,0,0,0,0
1692215132.167,71132.1668,3,0,295,295,99.42,2019,2047,9.30,10.40,989.85,21.90,259.22,15.96,31.37,2.97,325.27,42.24,630.77,1032.09,21.80,11.20,2.87,2.04,30000,3.0,16,1.75,4.81,0,8,255,512,43,45,43,36,38,34,37,15,3,1,0,0,0,0,0,0
1692215133.164,71133.1635,3,0,273,273,91.83,2020,2047,8.92,10.71,989.84,21.92,259.22,16.75,32.24,2.97,323.96,42.34,629.89,1031.65,21.80,11.51,2.87,2.04,30000,3.0,16,1.75,4.81,0,8,255,512,54,35,48,28,30,42,24,8,2,0,1,0,0,0,1,0
1692215134.164,71134.1637,3,0,282,282,93.99,2019,2047,9.39,10.66,989.81,21.94,259.22,17.49,31.52,3.00,324.40,42.37,629.45,1029.01,21.77,10.50,2.87,2.04,30000,3.0,16,1.75,4.81,0,8,255,512,48,46,34,32,30,41,34,13,4,0,0,0,0,0,0,1
1692215135.164,71135.1635,3,0,300,300,101.38,2020,2048,9.42,11.25,989.84,21.96,259.22,17.00,31.42,2.96,323.08,42.51,629.89,1032.97,21.77,11.85,2.87,2.04,30000,3.0,16,1.75,4.81,0,8,255,512,55,38,49,41,27,38,33,14,5,0,0,0,0,0,0,0
1692215136.163,71136.1635,3,0,279,279,92.73,2020,2048,9.40,10.75,989.82,21.98,259.23,18.75,32.71,3.01,323.96,42.49,630.33,1032.09,21.80,10.51,2.87,2.04,30000,3.0,16,1.75,4.81,0,8,255,512,47,41,41,43,24,42,29,10,1,1,0,0,0,0,0,0
1692215137.167,71137.1671,3,0,267,267,87.93,2019,2046,9.11,10.83,989.86,22.00,259.23,16.97,31.21,3.04,325.27,42.43,632.53,1032.09,21.83,11.84,2.87,2.04,30000,3.0,16,1.75,4.81,0,8,255,512,46,48,29,39,23,34,31,15,1,0,1,0,0,0,0,0
1692215138.164,71138.1641,3,0,277,277,91.48,2020,2048,9.17,10.62,989.85,22.02,259.23,16.97,31.69,3.03,325.27,42.51,632.09,1032.09,21.83,10.73,2.87,2.04,30000,3.0,16,1.75,4.81,0,8,255,512,44,52,34,45,32,29,28,12,1,0,0,0,0,0,0,0
1692215139.164,71139.1635,3,0,297,297,98.35,2020,2047,9.23,11.13,989.84,22.04,259.23,15.75,31.07,3.02,323.08,42.60,629.45,1030.77,21.80,10.45,2.87,2.04,30000,3.0,16,1.75,4.81,0,8,255,512,48,40,39,54,28,40,29,15,3,1,0,0,0,0,0,0
1692215140.167,71140.1669,3,0,258,258,85.75,2020,2047,9.19,11.16,989.84,22.06,259.23,17.40,33.18,3.01,324.40,42.51,629.89,1032.53,21.98,10.60,2.87,2.04,30000,3.0,16,1.75,4.81,0,8,255,512,50,34,42,34,24,33,29,12,0,0,0,0,0,0,0,0
1692215141.171,71141.1711,3,0,316,316,105.32,2019,2045,8.80,10.74,989.83,22.09,259.23,14.59,28.85,3.00,324.84,42.83,625.05,1032.53,21.83,11.45,2.87,2.04,30000,3.0,16,1.75,4.81,0,8,255,512,53,38,40,48,39,39,39,15,3,1,1,0,0,0,0,0
1692215142.174,71142.1744,3,0,266,266,86.42,2020,2047,9.18,10.44,989.79,22.12,259.23,16.48,32.97,3.08,323.96,42.68,629.45,1033.41,21.83,10.40,2.87,2.04,30000,3.0,16,1.75,4.81,0,8,255,512,38,45,35,41,30,38,27,12,0,0,0,0,0,0,0,0
1692215143.165,71143.1654,3,0,332,332,108.75,2018,2045,8.92,10.57,989.83,22.14,259.23,16.35,30.88,3.05,323.08,42.73,629.01,1033.85,21.86,10.91,2.87,2.04,30000,3.0,16,1.75,4.81,0,8,255,512,50,46,48,50,29,46,43,13,6,1,0,0,0,0,0,0
1692215144.164,71144.1639,3,0,278,278,92.57,2019,2045,8.82,10.46,989.85,22.16,259.23,16.23,31.86,3.00,323.52,42.70,628.57,1033.41,21.86,10.49,2.87,2.04,30000,3.0,16,1.75,4.81,0,8,255,512,55,44,35,33,34,31,29,15,0,1,1,0,0,0,0,0
1692215145.167,71145.1670,3,0,293,293,96.06,2017,2045,9.06,10.51,989.83,22.18,259.23,15.17,29.54,3.05,321.76,42.73,629.45,1033.41,21.98,11.90,2.87,2.04,30000,3.0,16,1.75,4.81,0,8,255,512,52,44,37,37,38,33,37,12,3,0,0,0,0,0,0,0
1692215146.164,71146.1641,3,0,276,276,91.65,2017,2047,9.89,10.67,989.84,22.20,259.23,17.37,32.50,3.01,320.88,42.75,628.57,1031.21,21.83,11.37,2.87,2.04,30000,3.0,16,1.75,4.81,0,8,255,512,48,43,37,37,38,38,21,12,1,0,1,0,0,0,0,0
1692215147.163,71147.1635,3,0,316,316,105.22,2017,2044,9.04,10.66,989.78,22.22,259.23,16.84,32.05,3.00,323.08,42.85,630.77,1035.16,21.89,10.66,2.87,2.04,30000,3.0,16,1.75,4.81,0,8,255,512,56,40,54,46,29,44,26,17,3,0,0,0,0,1,0,0
1692215148.166,71148.1661,3,0,318,318,106.97,2018,2046,9.30,10.54,989.81,22.25,259.23,16.56,31.44,2.97,324.40,42.73,628.57,1032.97,21.83,10.98,2.87,2.04,30000,3.0,16,1.75,4.81,0,8,255,512,55,39,45,45,43,33,37,17,2,2,0,0,0,0,0,0
1692215149.167,71149.1670,3,0,288,288,95.28,2018,2046,9.48,10.80,989.81,22.28,259.23,16.40,32.05,3.02,325.71,42.79,628.13,1034.29,21.89,11.42,2.87,2.04,30000,3.0,16,1.75,4.81,0,8,255,512,55,49,41,32,42,21,29,13,6,0,0,0,0,0,0,0
1692215150.167,71150.1669,3,0,285,285,94.38,2019,2047,9.40,10.43,989.85,22.30,259.23,15.35,30.15,3.02,322.20,42.83,627.69,1033.41,22.04,11.12,2.87,2.04,30000,3.0,16,1.75,4.81,0,8,255,512,41,32,44,47,35,35,40,10,1,0,0,0,0,0,0,0
1692215151.164,71151.1636,3,0,332,332,112.73,2018,2048,10.03,10.45,989.81,22.33,259.23,15.49,32.31,2.95,323.08,42.88,625.49,1033.85,21.89,11.01,2.87,2.04,30000,3.0,16,1.75,4.81,0,8,255,512,56,47,54,41,30,46,37,17,4,0,0,0,0,0,0,0
1692215152.166,71152.1663,3,0,326,326,109.15,2017,2045,9.09,10.68,989.83,22.35,259.23,16.12,31.92,2.99,321.32,42.94,628.13,1032.97,21.95,10.94,2.87,2.04,30000,3.0,16,1.75,4.81,0,8,255,512,56,55,44,51,32,29,41,14,3,1,0,0,0,0,0,0
1692215153.163,71153.1634,3,0,278,278,92.82,2020,2048,9.12,10.82,989.79,22.37,259.23,15.21,30.14,2.99,323.52,42.86,628.13,1034.29,21.89,11.41,2.87,2.04,30000,3.0,16,1.75,4.81,0,8,255,512,47,47,40,36,34,31,31,12,0,0,0,0,0,0,0,0
1692215154.163,71154.1634,3,0,300,300,99.62,2018,2047,9.54,10.69,989.86,22.39,259.23,15.81,30.06,3.01,322.64,42.86,627.25,1034.73,21.80,11.44,2.87,2.04,30000,3.0,16,1.75,4.81,0,8,255,512,50,40,40,42,34,44,38,7,4,1,0,0,0,0,0,0
1692215155.163,71155.1635,3,0,315,315,105.18,2018,2046,9.21,10.93,989.88,22.42,259.23,15.33,31.38,2.99,323.52,42.90,627.69,1034.29,21.92,11.14,2.87,2.04,30000,3.0,16,1.75,4.81,0,8,255,512,54,40,52,49,39,41,27,12,0,1,0,0,0,0,0,0
1692215156.164,71156.1636,3,0,302,302,99.73,2021,2050,9.80,10.59,989.82,22.44,259.23,15.59,31.59,3.03,324.40,42.94,628.57,1034.29,21.92,11.17,2.87,2.04,30000,3.0,16,1.75,4.81,0,8,255,512,55,45,45,37,27,37,40,12,3,1,0,0,0,0,0,0
1692215157.163,71157.1634,3,0,262,262,87.48,2019,2050,10.33,10.57,989.85,22.46,259.23,17.73,32.96,2.99,323.96,42.98,627.69,1034.29,21.95,11.24,2.87,2.04,30000,3.0,16,1.75,4.81,0,8,255,512,47,41,32,25,34,34,36,10,3,0,0,0,0,0,0,0
1692215158.163,71158.1635,3,0,272,272,91.07,2019,2046,8.88,10.68,989.84,22.49,259.23,16.13,31.24,2.99,325.71,42.94,626.81,1034.73,21.83,10.96,2.87,2.04,30000,3.0,16,1.75,4.81,0,8,255,512,40,48,40,33,27,41,25,14,2,1,1,0,0,0,0,0
1692215159.166,71159.1659,3,0,298,298,99.13,2018,2046,9.38,10.61,989.87,22.51,259.23,15.80,30.61,3.01,324.40,43.00,626.81,1035.16,21.48,10.69,2.87,2.04,30000,3.0,16,1.75,4.81,0,8,255,512,46,50,40,35,28,37,44,12,2,4,0,0,0,0,0,0
1692215160.164,71160.1637,3,0,295,295,98.77,2018,2047,9.73,10.64,989.88,22.54,259.23,18.24,31.82,2.99,323.52,43.02,627.25,1034.73,21.98,10.74,2.87,2.04,30000,3.0,16,1.75,4.81,0,8,255,512,50,38,38,45,27,50,32,13,1,1,0,0,0,0,0,0
1692215161.163,71161.1633,3,0,279,279,91.63,2017,2045,9.29,10.57,989.84,22.55,259.23,17.21,32.03,3.04,325.71,43.02,627.25,1035.60,21.98,10.65,2.87,2.04,30000,3.0,16,1.75,4.81,0,8,255,512,53,41,39,42,27,22,36,14,3,2,0,0,0,0,0,0
1692215162.164,71162.1636,3,0,298,298,97.61,2016,2043,8.79,10.71,989.83,22.58,259.23,17.29,31.21,3.05,327.03,43.03,626.81,1035.16,22.01,10.51,2.87,2.04,30000,3.0,16,1.75,4.81,0,8,255,512,42,45,43,32,45,38,42,8,2,1,0,0,0,0,0,0
1692215163.163,71163.1634,3,0,296,296,97.93,2017,2047,9.97,10.33,989.83,22.61,259.23,16.14,31.71,3.02,324.84,43.11,626.37,1035.60,22.01,10.53,2.87,2.04,30000,3.0,16,1.75,4.81,0,8,255,512,64,44,40,36,35,39,26,11,0,1,0,0,0,0,0,0
1692215164.164,71164.1636,3,0,290,290,96.03,2018,2047,9.83,10.70,989.78,22.63,259.23,16.95,31.29,3.02,323.08,43.00,626.37,1035.60,22.01,10.47,2.87,2.04,30000,3.0,16,1.75,4.81,0,8,255,512,51,48,41,34,33,36,35,10,0,2,0,0,0,0,0,0
1692215165.163,71165.1635,3,0,298,298,98.77,2019,2046,8.82,10.66,989.84,22.66,259.23,13.51,29.41,3.02,325.27,43.03,625.05,1034.29,22.08,10.57,2.87,2.04,30000,3.0,16,1.75,4.81,0,8,255,512,43,45,42,39,36,31,41,14,5,1,0,0,1,0,0,0
1692215166.164,71166.1638,3,0,292,292,97.59,2020,2047,9.20,10.56,989.87,22.68,259.23,15.78,31.06,2.99,323.52,43.09,625.93,1035.60,22.04,10.63,2.87,2.04,30000,3.0,16,1.75,4.81,0,8,255,512,67,35,35,40,30,43,30,9,2,1,0,0,0,0,0,0
1692215167.165,71167.1650,3,0,290,290,96.12,2019,2045,8.72,10.58,989.90,22.70,259.23,17.80,31.75,3.02,322.20,43.09,625.93,1040.44,22.04,10.72,2.87,2.04,30000,3.0,16,1.75,4.81,0,8,255,512,45,40,47,40,35,31,33,15,3,1,0,0,0,0,0,0
1692215168.164,71168.1636,3,0,285,285,95.42,2018,2044,8.82,11.19,989.79,22.72,259.23,14.34,30.91,2.99,323.52,43.03,625.49,1035.60,22.01,11.67,2.87,2.04,30000,3.0,16,1.75,4.81,0,8,255,512,43,44,43,35,39,34,33,9,3,1,0,0,0,0,1,0
1692215169.167,71169.1670,3,0,322,322,107.02,2019,2049,10.24,10.88,989.85,22.75,259.23,15.84,29.91,3.01,323.96,43.15,626.37,1035.60,22.17,10.80,2.87,2.04,30000,3.0,16,1.75,4.81,0,8,255,512,60,39,55,44,28,45,37,8,5,0,1,0,0,0,0,0
1692215170.165,71170.1648,3,0,285,285,91.61,2017,2045,9.12,10.62,989.84,22.77,259.23,15.73,31.80,3.11,323.08,43.09,625.49,1035.60,22.08,11.11,2.87,2.04,30000,3.0,16,1.75,4.81,0,8,255,512,49,38,33,33,42,40,31,14,3,0,2,0,0,0,0,0
